ime_poti,cas_poti,tezavnost_poti,vrh
Podnanos - Furlanovo zavetišče pri Abramu,180,lahka označena pot,Furlanovo zavetišče pri Abramu
Podkraj - Furlanovo zavetišče pri Abramu,150,lahka označena pot,Furlanovo zavetišče pri Abramu
Hrašče - Furlanovo zavetišče pri Abramu (mimo korit),165,lahka označena pot,Furlanovo zavetišče pri Abramu
Hrašče - Furlanovo zavetišče pri Abramu (čez Brižnik),165,lahka označena pot,Furlanovo zavetišče pri Abramu
Lovska koča Budanje - Kraguljc,85,lahka označena pot,Kraguljc
Col - Kraguljc,95,lahka označena pot,Kraguljc
Jamce - Kraguljc,90,lahka neoznačena steza,Kraguljc
Osilnica - Bezgarska planina,130,lahka označena pot,Bezgarska planina
18. serpentina ceste na Strmo Reber - Bezgarska planina,45,lahka označena pot,Bezgarska planina
Bezgovica - Bezgarska planina,60,lahka označena pot,Bezgarska planina
Strma Reber - Bezgarska planina,10,lahka označena pot,Bezgarska planina
Ledinsko Razpotje - Marutnik (vzhodna pot),50,"lahka označena pot, lahka neoznačena steza",Marutnik
Ledinsko Razpotje - Marutnik (zahodna pot),55,"lahka označena pot, lahka neoznačena steza",Marutnik
Zazid - Golič (čez Kojnik),150,lahka označena pot,Golič
Zazid - Golič (mimo Lipnika),150,lahka označena pot,Golič
 Podgorje - Golič (mimo lovskega zavetišča),160,lahka označena pot,Golič
Zazid - Golič (direktna pot),105,lahka neoznačena steza,Golič
Krvava Peč - Gozdarska koča Pri logarnici,90,lahka označena pot,Gozdarska koča Pri logarnici
Zazid - Nadglavinjak (mimo Lipnika),130,lahka označena pot,Nadglavinjak
Vitovlje (Križišče) - Sekulak,90,lahka označena pot,Sekulak
Vitovlje - Sekulak (mimo Vitovskega jezera),100,lahka označena pot,Sekulak
Ozeljan - Sekulak,170,lahka neoznačena steza,Sekulak
Smrečje - Vrh Svetih Treh Kraljev (po cesti),45,lahka označena pot,Vrh Svetih Treh Kraljev
Račevsko jezero - Vrh Svetih Treh Kraljev,45,lahka označena pot,Vrh Svetih Treh Kraljev
Rovte - Vrh Svetih Treh Kraljev (strma pot),85,lahka označena pot,Vrh Svetih Treh Kraljev
 Rovte - Vrh Svetih Treh Kraljev (položna pot),90,lahka označena pot,Vrh Svetih Treh Kraljev
 Smrečje - Vrh Svetih Treh Kraljev (pešpot),40,lahka označena pot,Vrh Svetih Treh Kraljev
Žiri - Vrh Svetih Treh Kraljev,150,lahka označena pot,Vrh Svetih Treh Kraljev
Smrečje - Vrh Svetih Treh Kraljev (mimo Jereba),45,lahka označena pot,Vrh Svetih Treh Kraljev
Sopot - Vrh Svetih Treh Kraljev,85,lahka označena pot,Vrh Svetih Treh Kraljev
Dom na Goropekah - Vrh Svetih Treh Kraljev,100,lahka označena pot,Vrh Svetih Treh Kraljev
Zazid - Kavčič (mimo Lipnika),150,lahka označena pot,Kavčič
Rakitovec - Kavčič (po kolovozu),45,lahka neoznačena steza,Kavčič
Planina - Lovska koča na Planinski gori,50,lahka neoznačena steza,Lovska koča na Planinski gori
Lohača - Lovska koča na Planinski gori (po cesti),60,lahka neoznačena steza,Lovska koča na Planinski gori
Planina (Dolnja Planina) - Lovska koča na Planinski gori (mimo Sv. Duha),55,lahka neoznačena steza,Lovska koča na Planinski gori
Planina (Dolnja Planina) - Lovska koča na Planinski gori (preko Zavrtnikov),55,lahka neoznačena steza,Lovska koča na Planinski gori
Strma Reber - Loška stena,90,lahka označena pot,Loška stena
Osilnica - Loška stena,230,lahka označena pot,Loška stena
Ravne - Loška stena,110,lahka označena pot,Loška stena
18. serpentina ceste na Strmo Reber - Loška stena,145,lahka označena pot,Loška stena
Bezgovica - Loška stena,160,lahka označena pot,Loška stena
Planina - Grmada (Planinska gora),60,lahka neoznačena steza,Grmada (Planinska gora)
Planina (Dolnja Planina) - Grmada (Planinska gora) (preko Zavrtnikov),65,lahka neoznačena steza,Grmada (Planinska gora)
Planina (Dolnja Planina) - Grmada (Planinska gora) (mimo Sv. Duha),65,lahka neoznačena steza,Grmada (Planinska gora)
Lovska koča Budanje - Sončnica (Reber),70,lahka označena pot,Sončnica (Reber)
Col - Sončnica (Reber),80,lahka označena pot,Sončnica (Reber)
Jamce - Sončnica (Reber),105,lahka neoznačena steza,Sončnica (Reber)
Drnulk - Vrh Skopice,80,lahka označena pot,Vrh Skopice
Čepovan (Želinc) - Vrh Skopice,50,lahka neoznačena steza,Vrh Skopice
Jurišče - Bele stene (vzhodna pot),60,lahka označena pot,Bele stene
Jurišče - Bele stene (zahodna pot),50,lahka označena pot,Bele stene
Stružnica - Kuželjska stena,45,lahka označena pot,Kuželjska stena
Sveta Ana - Križna gora,20,lahka označena pot,Križna gora
Križna jama - Križna gora,35,lahka označena pot,Križna gora
Bločice - Križna gora,75,lahka označena pot,Križna gora
Izvir Hublja - Navrše,95,lahka označena pot,Navrše
Predmeja - Navrše (Pot po Robu),135,lahka označena pot,Navrše
Otlica - Navrše,40,lahka označena pot,Navrše
Ledinsko Razpotje - Sveta Marija Magdalena (Gore) (vzhodna pot),60,lahka označena pot,Sveta Marija Magdalena (Gore)
Ledinsko Razpotje - Sveta Marija Magdalena (Gore) (zahodna pot),70,lahka označena pot,Sveta Marija Magdalena (Gore)
 Topol - Belovka,15,lahka neoznačena steza,Belovka
Studenec na Blokah - Belovka,15,lahka neoznačena steza,Belovka
Izvir Hublja - Otliški maj,85,lahka neoznačena steza,Otliški maj
Predmeja - Otliški maj (Pot po Robu),105,lahka označena pot,Otliški maj
Otlica - Otliški maj,15,lahka označena pot,Otliški maj
Župeno - Sveti Vid (Vidovska planota),70,lahka označena pot,Sveti Vid (Vidovska planota)
Pikovnik - Sveti Vid (Vidovska planota),90,lahka označena pot,Sveti Vid (Vidovska planota)
Občina - Sveti Vid (Vidovska planota),90,lahka označena pot,Sveti Vid (Vidovska planota)
Predmeja (tuneli) - Bivak Črna peč (Srednječavenska pot),120,delno zahtevna označena pot,Bivak Črna peč
Vrtovin - Bivak Črna peč,105,lahka označena pot,Bivak Črna peč
Col - Podrta gora nad Ajdovščino,105,lahka označena pot,Podrta gora nad Ajdovščino
Lovska koča Budanje - Podrta gora nad Ajdovščino,95,lahka označena pot,Podrta gora nad Ajdovščino
Jamce - Podrta gora nad Ajdovščino,80,lahka neoznačena steza,Podrta gora nad Ajdovščino
Visoko - Kurešček,20,lahka označena pot,Kurešček
Zapotok - Kurešček,45,lahka označena pot,Kurešček
Želimlje - Kurešček,110,lahka označena pot,Kurešček
Pirman - Kurešček,105,lahka označena pot,Kurešček
Visoko (Mali Kurešček) - Kurešček,15,lahka označena pot,Kurešček
Dom na Goropekah - Koča na Vrhu Svetih Treh Kraljev (peš pot),90,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
 Rovte - Koča na Vrhu Svetih Treh Kraljev (položna pot),80,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Sopot - Koča na Vrhu Svetih Treh Kraljev (po cesti),75,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Smrečje - Koča na Vrhu Svetih Treh Kraljev (po cesti),35,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Račevsko jezero - Koča na Vrhu Svetih Treh Kraljev,35,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Rovte - Koča na Vrhu Svetih Treh Kraljev (strma pot),75,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
 Smrečje - Koča na Vrhu Svetih Treh Kraljev (pešpot),30,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Žiri - Koča na Vrhu Svetih Treh Kraljev,140,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Smrečje - Koča na Vrhu Svetih Treh Kraljev (mimo Jereba),35,lahka označena pot,Koča na Vrhu Svetih Treh Kraljev
Lohača - Polšakova koča na Zagori (po cesti),105,lahka neoznačena steza,Polšakova koča na Zagori
Brunk - Polšakova koča na Zagori,60,lahka neoznačena steza,Polšakova koča na Zagori
Pivka - Osojnica,60,lahka označena pot,Osojnica
Gradec - Osojnica,45,lahka neoznačena steza,Osojnica
Izvir Ljubljanice (Močilnik) - Ljubljanski vrh,120,lahka neoznačena steza,Ljubljanski vrh
Jeršiče - Lovska koča Trešnja ravan,110,lahka označena pot,Lovska koča Trešnja ravan
Mrše - Sveti Socerb (Artviže),60,lahka označena pot,Sveti Socerb (Artviže)
Sveti Mavricij - Sveti Socerb (Artviže),135,lahka označena pot,Sveti Socerb (Artviže)
Rodik - Sveti Socerb (Artviže),80,lahka neoznačena steza,Sveti Socerb (Artviže)
Begunje - Goli vrh (Cemarovnik),30,lahka označena pot,Goli vrh (Cemarovnik)
Hotedršica - Medvedje Brdo,75,lahka označena pot,Medvedje Brdo
Rovte - Medvedje Brdo (čez Kamnikov Grič),75,lahka označena pot,Medvedje Brdo
Rovte - Medvedje Brdo (po Trtovški grapi),70,lahka neoznačena steza,Medvedje Brdo
Zavratec - Medvedje Brdo,45,lahka označena pot,Medvedje Brdo
Ledinsko Razpotje - Medvedje Brdo (vzhodna pot),190,lahka označena pot,Medvedje Brdo
Ledinsko Razpotje - Medvedje Brdo (zahodna pot),195,lahka označena pot,Medvedje Brdo
Plave - Korada,150,lahka označena pot,Korada
Zamedveje - Korada,150,lahka označena pot,Korada
Kanal - Korada,180,lahka označena pot,Korada
Kambreško - Globočak,50,lahka označena pot,Globočak
Srednje - Globočak,35,lahka označena pot,Globočak
Borovnica - Mali Trebelnik,90,lahka označena pot,Mali Trebelnik
Bistra - Mali Trebelnik,105,lahka označena pot,Mali Trebelnik
Dom v Iškem Vintgarju - Sveti Lenart (Krvava Peč),180,delno zahtevna označena pot,Sveti Lenart (Krvava Peč)
Kamen - Sveti Lenart (Krvava Peč),90,lahka označena pot,Sveti Lenart (Krvava Peč)
Predgozd - Sveti Lenart (Krvava Peč),60,lahka označena pot,Sveti Lenart (Krvava Peč)
Visoko (Mali Kurešček) - Sveti Lenart (Krvava Peč),135,lahka označena pot,Sveti Lenart (Krvava Peč)
Visoko (Mali Kurešček) - Sveti Lenart (Krvava Peč) (mimo Pavlinovega brezna),135,lahka neoznačena steza,Sveti Lenart (Krvava Peč)
Rodik - Ajdovščina,40,lahka neoznačena steza,Ajdovščina
Zazid - Lipnik,100,lahka označena pot,Lipnik
Plave - Zavetišče na Koradi,140,lahka označena pot,Zavetišče na Koradi
Zamedveje - Zavetišče na Koradi,140,lahka označena pot,Zavetišče na Koradi
Podgorje - Kojnik (strma pot),60,lahka označena pot,Kojnik
Zazid - Kojnik,80,lahka označena pot,Kojnik
Podgorje - Kojnik (mimo lovskega zavetišča),90,lahka neoznačena steza,Kojnik
Kuren - Ulovka,50,lahka označena pot,Ulovka
Zaplana (Prezid) - Ulovka,105,lahka označena pot,Ulovka
Zaplana (sv. Urh in sv. Martin) - Ulovka,50,lahka označena pot,Ulovka
Izvir Hublja - Otliško okno,80,lahka označena pot,Otliško okno
Otlica - Otliško okno,25,lahka označena pot,Otliško okno
Predmeja - Otliško okno (Pot po Robu),120,lahka označena pot,Otliško okno
Zala - Slap Kotel,35,lahka označena pot,Slap Kotel
Črne njive - Ahac,40,lahka označena pot,Ahac
Šembije - Ahac,120,lahka označena pot,Ahac
Vrbovo - Ahac,60,lahka neoznačena steza,Ahac
Jasen - Ahac,60,lahka neoznačena steza,Ahac
Vrbiški dol - Ahac,60,lahka označena pot,Ahac
Gradišče  - Gradiška Tura (Furlanova pot),75,zelo zahtevna označena pot,Gradiška Tura
Gradišče - Gradiška Tura (Otmarjeva pot),100,zelo zahtevna označena pot,Gradiška Tura
Gradišče - Gradiška Tura (lažja varianta),75,zahtevna označena pot,Gradiška Tura
Vipava - Gradiška Tura,120,lahka označena pot,Gradiška Tura
Gradišče - Gradiška Tura (čez Plaz),120,lahka označena pot,Gradiška Tura
Šembije - Gradišče (Čepan),80,lahka neoznačena steza,Gradišče (Čepan)
Rakitna (Rakiško jezero) - Rakitna (Gozdna in arheološka učna pot Rimski zid - Rakitna),60,lahka označena pot,Rakitna
Zabočevo - Rakitna,105,lahka označena pot,Rakitna
Planina - Sveta Marija na Planinski gori,40,lahka neoznačena steza,Sveta Marija na Planinski gori
Lohača - Sveta Marija na Planinski gori (po cesti),75,lahka neoznačena steza,Sveta Marija na Planinski gori
Planina (Dolnja Planina) - Sveta Marija na Planinski gori (mimo Sv. Duha),45,lahka neoznačena steza,Sveta Marija na Planinski gori
Planina (Dolnja Planina) - Sveta Marija na Planinski gori (preko Zavrtnikov),45,lahka neoznačena steza,Sveta Marija na Planinski gori
Šembije - Vrh,45,lahka neoznačena steza,Vrh
Lozice - Lovska koča Vojkovo,75,lahka označena pot,Lovska koča Vojkovo
Podnanos - Lovska koča Vojkovo (Pod zatrepom),135,lahka označena pot,Lovska koča Vojkovo
Hrašče - Lovska koča Vojkovo (mimo korit),90,lahka označena pot,Lovska koča Vojkovo
Hrašče - Lovska koča Vojkovo (čez Brižnik),90,lahka označena pot,Lovska koča Vojkovo
Gradišče - Lovska koča Vojkovo,135,lahka označena pot,Lovska koča Vojkovo
Rakitna - Trenk,75,lahka označena pot,Trenk
Ortnek - Ortneški Stari grad,40,lahka označena pot,Ortneški Stari grad
Jeršiče - Pečna reber,20,lahka označena pot,Pečna reber
Visoko - Planinski dom na Kureščku,10,lahka označena pot,Planinski dom na Kureščku
Želimlje - Planinski dom na Kureščku,100,lahka označena pot,Planinski dom na Kureščku
Pirman - Planinski dom na Kureščku,105,lahka označena pot,Planinski dom na Kureščku
Postaja (Most na Soči)  - Razgledna točka Široko,100,lahka označena pot,Razgledna točka Široko
Sveti Vid (Vidovska planota) - Sveti Primož in Felicijan (Osredek),50,lahka označena pot,Sveti Primož in Felicijan (Osredek)
Pivka - Šilentabor,90,lahka označena pot,Šilentabor
Narin - Šilentabor,60,lahka označena pot,Šilentabor
Šembije - Šilentabor (po Brkinškem robu),125,lahka neoznačena steza,Šilentabor
Podtabor - Šilentabor,110,lahka neoznačena steza,Šilentabor
Zagorje - Šilentabor,35,lahka označena pot,Šilentabor
Parje - Šilentabor,75,lahka neoznačena steza,Šilentabor
Staro Volčje - Bloško jezero,15,lahka označena pot,Bloško jezero
Nova vas - Bloško jezero,25,lahka označena pot,Bloško jezero
Strmca - Bloško jezero,70,lahka označena pot,Bloško jezero
Zvratnice - Bloško jezero,20,lahka označena pot,Bloško jezero
Prelože pri Lokvi - Veliko Gradišče,45,lahka označena pot,Veliko Gradišče
Krvavi Potok - Veliko Gradišče,60,lahka označena pot,Veliko Gradišče
Žiri - Dom na Goropekah (po cesti),40,lahka označena pot,Dom na Goropekah
Žiri - Dom na Goropekah,50,lahka označena pot,Dom na Goropekah
Solarji - Planinski dom pod Ježo,65,lahka označena pot,Planinski dom pod Ježo
Ortnek - Sveti Gregor na Slemenih,70,lahka označena pot,Sveti Gregor na Slemenih
Hrpelje - Hrpeljska gora,90,lahka označena pot,Hrpeljska gora
Lovski dom pod Glavico - Hrpeljska gora,35,"lahka neoznačena steza, lahka označena pot",Hrpeljska gora
Prešnica - Hrpeljska gora,80,"lahka neoznačena steza, lahka označena pot",Hrpeljska gora
Gradišče - Škavnica,75,lahka označena pot,Škavnica
Star maln - Koča na Planini nad Vrhniko,60,lahka označena pot,Koča na Planini nad Vrhniko
Vrhnika - Koča na Planini nad Vrhniko (čez Špico),60,lahka označena pot,Koča na Planini nad Vrhniko
Kuren - Koča na Planini nad Vrhniko,45,lahka označena pot,Koča na Planini nad Vrhniko
Vrhnika - Koča na Planini nad Vrhniko (mimo bukve),65,lahka označena pot,Koča na Planini nad Vrhniko
Zaplana (sv. Urh in sv. Martin) - Koča na Planini nad Vrhniko,45,lahka označena pot,Koča na Planini nad Vrhniko
Stara Vrhnika - Koča na Planini nad Vrhniko (mimo Kurna),75,lahka označena pot,Koča na Planini nad Vrhniko
Stara Vrhnika - Koča na Planini nad Vrhniko (čez Špico),75,lahka označena pot,Koča na Planini nad Vrhniko
Blatni dol - Koča na Planini nad Vrhniko,70,lahka označena pot,Koča na Planini nad Vrhniko
Zaplana (Prezid) - Koča na Planini nad Vrhniko,100,lahka označena pot,Koča na Planini nad Vrhniko
Lovska koča Plehanov laz - Koča na Kavcu,45,lahka označena pot,Koča na Kavcu
Ročinj - Čičer (krožna pot),180,lahka označena pot,Čičer
Logatec (Gorenja vas) - Šenčurjev vrh (skozi Žibrše),90,lahka neoznačena steza,Šenčurjev vrh
Travnarjev gozd (Hotenjsko podolje) - Šenčurjev vrh,110,lahka označena pot,Šenčurjev vrh
Hotedršica - Sveti Urh (Zavratec),120,lahka označena pot,Sveti Urh (Zavratec)
Rovte - Sveti Urh (Zavratec) (čez Kamnikov Grič),90,lahka označena pot,Sveti Urh (Zavratec)
Rovte - Sveti Urh (Zavratec) (po Trtovški grapi),100,lahka označena pot,Sveti Urh (Zavratec)
Narin - Sveti Martin (Šilentabor),55,lahka označena pot,Sveti Martin (Šilentabor)
Šembije - Sveti Martin (Šilentabor) (po Brkinškem robu),120,lahka neoznačena steza,Sveti Martin (Šilentabor)
Podtabor - Sveti Martin (Šilentabor),105,lahka neoznačena steza,Sveti Martin (Šilentabor)
Zagorje - Sveti Martin (Šilentabor),30,lahka označena pot,Sveti Martin (Šilentabor)
Pivka - Primož,25,lahka označena pot,Primož
Parje - Primož,40,lahka neoznačena steza,Primož
Hrpelje - Planina Jegno,150,lahka označena pot,Planina Jegno
Grad Hošperk - Stari grad,40,lahka neoznačena steza,Stari grad
Prelože pri Lokvi - Obrovnik,70,"lahko brezpotje, lahka označena pot",Obrovnik
Morava - Mali Mošenik,20,lahka neoznačena steza,Mali Mošenik
Lož - Grad Lož (Pusti grad),20,lahka označena pot,Grad Lož (Pusti grad)
Žiri - Sveti Janez Krstnik (Goropeke),40,lahka označena pot,Sveti Janez Krstnik (Goropeke)
Skalnica - Sveta Gora (peš pot),55,lahka označena pot,Sveta Gora
Skalnica - Sveta Gora (pot po jarkih),60,delno zahtevna označena pot,Sveta Gora
Skalnica - Sveta Gora (po cesti),60,lahka označena pot,Sveta Gora
Pod Skalnico - Sveta Gora,80,"lahka neoznačena steza, lahka označena pot",Sveta Gora
Grgar - Sveta Gora (pot Po sredi),75,lahka označena pot,Sveta Gora
Grgar - Sveta Gora (čez Frančiškov hrib),85,lahka označena pot,Sveta Gora
Grgar - Sveta Gora (po Ranjekah),90,lahka označena pot,Sveta Gora
Zagora - Sveta Gora,125,lahka označena pot,Sveta Gora
Plave - Sveta Gora (čez Kuk in Vodice),185,lahka neoznačena steza,Sveta Gora
  Plave - Sveta Gora (čez Prižnico in Vodice),195,lahka neoznačena steza,Sveta Gora
Grgar - Sveta Gora (čez Križce),90,lahka označena pot,Sveta Gora
Plave - Sveta Gora (čez Paljevo in Vodice),175,lahka neoznačena steza,Sveta Gora
Grgar - Sveta Gora (po cesti),75,lahka neoznačena steza,Sveta Gora
Branček - Sv. Katarina nad Novokračinami,30,lahka označena pot,Sv. Katarina nad Novokračinami
Rjavi bg - Sv. Katarina nad Novokračinami,40,lahka neoznačena steza,Sv. Katarina nad Novokračinami
