ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti
Gora (Sveti Lovrenc),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1019,"vrh, cerkev",471203,87,3,"Gora ali Sveti Lovrenc je vrh nad Studenim. To je vasica severno od Postojne, ki je tudi primerno izhodišče za vzpon na vrh te razgledne gore. Z vrha, ki ima vpisno skrinjico je lep razgled proti Postojnski kotlini in hribovju nad Postojno in Cerknico. Najlepše se vidijo Snežnik, Slivnica, Javorniki, Vremščica in del Nanosa. Na ostale strani razgled ovira gozd.",
Špilnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1018,vrh,2440,26,2,"Špilnik je manj obiskan, a zelo razgleden vrh na južni strani Hrušice, natančneje nad vasjo Strmca. Ima osrednjo lego v grebenskem nizu od Petričevega hriba do Sv. Lovrenca in ponuja odlične poglede na vse strani. Na njem so zelo dobre vidne posledice žledoloma iz leta 2014.",
Koča na Kamnem griču,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1016,"vrh, koča",293128,67,7,"Koča se nahaja na Kamnem griču, razgledni vzpetini, ki se dviguje jugozahodno od Sodražice. S travnatega vrha, ki ga obdaja gozd je lep razgled na okoliško hribovje.",
Firstov rep,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1002,,5590,32,5,"Firstov rep se nahaja severno od Loške stene, na njem pa se nahaja vpisna skrinjica z vpisno knjigo in žigom. Od vpisne skrinjice na Firstovem repu, se nam odpre lep pogled na strma pobočja in ostenja Borovške gore, ki se spuščajo proti Zgornji Kolpski dolini.",
Sinji vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1002,vrh,573874,95,11,"Sinji vrh je razgledna gora, ki se nahaja med Colom, Ajdovščino in Predmejo. Z vrha je lep pogled po večjem delu zahodne Slovenije (ob lepem vremenu se vidi tudi morje). Na vrhu stoji manjši križ, žig pa je 3 minute pod vrhom pri penzionu Sinji vrh.",
Županov vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",999,vrh,327500,71,6,"Županov vrh je 999 metrov visok vrh, ki se nahaja jugovzhodno od Rakitne. S travnatega vrha, na katerem se nahaja trigonometrična točka ter manjši antenski stolp, se nam ob lepem vremenu odpre lep pogled na notranjska hribovja, ob lepi vidljivosti pa razgled seže vse do Alp.",
Novaška gora,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",998,vrh,192692,54,1,"Novaška gora je z gozdom poraščen vrh, ki se nahaja zahodno od Rakitne.",
Grmada pri Slavniku,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",998,vrh,341900,73,2,"Grmada je 998m visok vrh, ki se nahaja severozahodno od Slavnika. Z vrha na katerem se nahaja opazovalnica protipožarne varnosti je lep pogled po večjem delu Primorske.",
Koča na Kozleku,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",997,"vrh, koča",357972,75,3,"Koča se nahaja jugozahodno od Ilirske Bistrice, le nekaj metrov pod vrhom Kozleka. Z vrha je lep pogled le proti jugu in zahodu, kjer vidimo dolino reke Reke in hribovje, ki obdaja omenjeno dolino. ",
Špiček (Špečk),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",986,vrh,240340,60,3,"Špiček (domačini mu pravijo Špečk) je vrh, ki se nahaja severno do severovzhodno od Cola. Na vrhu je postavljen križ v čast sv. Hubertu in v spomin na prvo obletnico obiska svetega očeta v Sloveniji. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo ter večimi klopmi, se nam odpre lep razgled proti Javorniku, Hrušici, Nanosu, Colu, delu Vipavske doline, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp.",
Lovsko zavetišče pod Čavnom,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",980,"vrh, bivak",212214,57,1,"Lovsko zavetišče se nahaja na razgledni vzpetini stranskega grebena Čavna. Od zavetišča, ki služi kot zasilni bivak je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv in Dolomite.",
Volovja reber,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",975,vrh,264988,63,1,"Volovja reber, vsem znana po predlogu izgradenj vetrnih elektrarn, se nahaja zahodno od prostranih snežniških gozdov. S travnatega vrha, na katerem lahko opazimo številne, med njimi tudi zelo redke rastline, se nam odpre lep razgled po večjem delu jugozahodne Slovenije, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov. ",
Sveti Bric (Nanos),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",965,cerkev,250580,61,2,"Cerkev svetega Brica (po nekaterih zapisih tudi sveti Brikcij) se nahaja južno od Suhega vrha, pod pobočji Votle stene, ki se strmo spušča z Nanoške planote. Od cerkve, pred katero je nekaj klopi, zaradi gozda, ki le to obdaja ni razgleda.",
Rotovc,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",964,vrh,287161,66,4,"Rotovc je 964 m visok vrh, ki se nahaja severovzhodno od Rakitne. Z vrha, na katerem stoji lesena klop, se nam odpre lep razgled proti že omenjeni Rakitni, Novaški gori in Krimščku.",
Mišnice,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",961,vrh,3590,29,2,"Mišnice so manj znan vrh, ki se nahaja med Krimom in Rakitno. Z večinoma poraščenega vrha se nam odpre nekaj razgleda skozi krošnje dreves, sicer pa vrh ne nudi lepšega razgleda.",
Kovk,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",961,vrh,387008,78,3,"Kovk je razgleden vrh, ki se nahaja zahodno od Cola, na razpotegnjenem grebenu, ki se strmo dviga nad Vipavsko dolino. Z vrha na katerem stoji križ se nam odpre lep razgled proti Nanosu, delu Vipavske doline, Čavnu in Golakom. Vrh ima vpisno skrinjico in žig.",
Križna gora nad Colom,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",957,vrh,262893,63,2,"Križna gora je 957 m visok vrh, ki se nahaja severno od Cola. Z vrha, ki je na severno stran porasel z gozdom, se nam odpre lep razgled proti vzhodu, jugu in zahodu, kjer lepo vidimo večinoma gozdnate vrhove Hrušice, Nanosa in dela Čavna. Pod nami lepo vidimo Col, še nekoliko bolj proti jugu pa del Vipavske doline.",
Velika Špička,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",955,vrh,379959,77,4,"Velika Špička oz. Špičasto Stražišče je vrh, ki se nahaja severno od Slivnice. Z vrha, ki ima vpisno skrinjico z žigom je lep razgled proti Snežniku, že omenjeni Slivnici, Javornikom in Nanosu. Na ostale strani razgled ovira gozd, a se z malo truda vidi tudi del Julijcev.",
Mala Plešivica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",953,vrh,213583,57,2,"Mala Plešivica, ki je višja od sosednje Velike Plešivice je razgleden vrh, ki se nahaja zahodno od vasi Golac ob meji s Hrvaško. Z vrha se nam tako ob lepem vremenu odpre lep razgled, ki seže vse od bližnje Medvižice in Razsušice prek Istre do daljnih Dolomitov, Julijskih in Kamniško Savinjskih Alp do Snežnika.",
Ježa,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",949,vrh,188170,54,2,"Ježa je 949 m visok vrh, ki se nahaja zahodno od Volč, točneje na pobočjih Kolovrata. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Trnovski gozd, okoliško hribovje ter skozi krošnje dreves proti delu Julijskih Alp.",
Milanka,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",948,vrh,136357,47,1,"Milanka je 948m visok vrh, ki se nahaja zahodno od Volovje rebri. Ker je vrh deloma poraščen, se nam z njega odpre razgled le proti jugu in zahodu, kjer lahko vidimo okoliško hribovje in kraška polja.",
Leskovica (nad Stražiščem),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",947,vrh,1160,19,2,"Leskovica je 947 metrov visok vrh, ki se nahaja nad Kožljekom in Stražiščem. Z vrha, preko katerega vodi visokonapetostni daljnovod Beričevo - Divača, se nam odpre lep razgled proti Slivnici, Snežniku, Javornikom, Nanosu, ob lepem vremenu pa razgled seže vse do Alp.",
Krempa,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",944,vrh,208342,56,1,"Krempa je 944 m visoka gora, ki se nahaja v osrednjem delu Borovške gore, pogorja, ki se strmo dviga nad Zgornje kolpsko dolino. Na vrhu je vpisna skrinjica ter žig Kočevske planinske poti.<br>Malo pod vrhom, na istoimenskem sedlu pa se nahaja znano rastišče narcis.",
Krimšček,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",940,vrh,232545,59,1,"Krimšček oz. Krimček kot mu pravijo domačini je 940 m visoka gora, ki se strmo dviga vzhodno od Brezovice pri Borovnici. Vrh je porasel z gozdom, zato z njega ni razgleda.",
Petričev hrib,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",937,vrh,281281,65,4,"Petričev hrib je vrh severno od Postojne in zahodno od Planine. Z vrha, ki ima vpisno skrinjico je lep razgled na notranjsko hribovje, kjer se lepo vidijo Snežnik, Slivnica, Javorniki, Vremščica...",
Deveti konfin,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",930,vrh,184933,53,2,"Deveti konfin je 930 m visok vrh v pogorju Kolovrata, ki se nahaja med Ježo in Očno. Z vrha, na katerem se v manjši piramidi nahaja vpisna skrinjica, zaradi gozda ni razgleda.<br> Ime Deveti konfin pa izhaja iz dejstva, da so se na vrhu stikale meje devetih lastnikov (povzeto s spletne strani dolina-soce.com).",
Kopitnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",929,bivak,251898,62,4,"Kopitnik znan kot vzletna točka zmajarjev in padalcev se nahaja nad vasjo Vitovlje nad Vipavsko dolino. V bližini vzletišča se nahaja manjše zavetišče in ob njem vpisna skrinjica. <br>Razgled s Kopitnika pa seže po večjem delu Vipavske doline, prek Tržaškega zaliva do Dolomitov.",
Srednji vrh pri Kozleku,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",923,vrh,183031,53,2,"Srednji vrh je razgledna gora, ki se nahaja zahodno od Ilirske Bistrice, v bližini bolj poznanega Kozleka. Z vrha je lep razgled navzdol proti dolini reke Reke in okoliškem hribovju.",
Dolski maj,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",912,vrh,172774,52,2,"Dolski maj (tudi Predmejski maj) je 912 m visok vrh, ki se nahaja na robu Gore, točneje med Predmejo in Otlico. Z vrha, na katerem se nahaja manjša razgledna plošča ter ob njej vpisna skrinjica, se nam odpre lep razgled na Modrasovec, Golake, Nanos in Vipavsko dolino.",
Velika Plešivica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",908,vrh,233707,59,2,"Velika Plešivica je 908 m visok vrh, ki se nahaja med Slavnikom in manj znano Malo Plešivico. Z vrha na katerem se nahaja uničena vpisna skrinjica je lep razgled proti Istri, Tržaškemu zalivu, Slavniku in bližnji Mali Plešivici, ob lepem vremenu pa razgled seže vse do Dolomitov.",
Lovska koča Urška,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",908,,145957,48,1,Lovska koča Urška se nahaja vzhodno od Racne gore na obrobju Uršjega laza. Pred kočo se nahaja skrinjica z vpisno knjigo in žigom. ,
Očna,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",906,vrh,158205,50,2,"Očna je 906 m visok vrh, ki se nahaja v pogorju Kolovrata, le ta pa zahodno od Tolmina. S travnika nekaj metrov stran od vrha, se nam odpre lep razgled na Julijske Alpe, Tolmin in Trnovski gozd.",
Dom na Travni Gori,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",906,koča,289242,66,2,"Dom se nahaja južno od Sodražice na pobočjih Travne gore. Zaradi bližnjega gozda, ki obdaja travnik ob domu je razgled omejen le na bližnji travnik in krošnje dreves.",
Furlanovo zavetišče pri Abramu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",900,koča,492435,89,8,"Furlanovo zavetišče pri Abramu, je priljubljena izletniška točka, ki se nahaja vzhodno od Vipavske doline. Velik del obiskovalcev, se do zavetišča pripelje kar z avtomobili in si nato ogledujejo v majhno kletko zaprtega medveda. Od zavetišča, ki je točka slovenske planinske poti, je razgled omejen le na planoto Nanosa in delu okoliškega hribovja.",
Kraguljc,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",897,vrh,4575,31,3,"Kraguljc je gora, ki se nahaja med Podrto goro in Sončnico. Na razglednem vrhu, s katerega se odpre lep pogled proti Vipavski dolini in delu planote Gora, se nahaja trigonometrična točka.",
Bezgarska planina,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",895,planina,1952,24,4,"Bezgarska planina se nahaja zahodno od Borovške gore nad Zgornjo Kolpsko dolino. Na planini se nahaja označeno razpotje, večja lovska opazovalnica, v kateri je po predhodnem dogovoru z lovsko družino možno tudi prespati.",
Marutnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",892,vrh,3300,29,2,"Marutnik je 892 metrov visok vrh, ki se nahaja vzhodno do severovzhodno od Idrije, v bližini naselja Gore. Na vrhu stoji trigonometrična točka, v bližini nje pa še manjša klopca, nekoliko nižje pa še obeležje NOB. Vrh je poraščen, se nam pa z bližnjega travnika odpre lep pogled na Škofjeloško hribovje, ob lepi vidljivosti pa razgled seže vse do Alp.",
Golič,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",890,vrh,364651,76,5,"Golič je travnat greben, ki se razprostira od Kojnika do Slovensko-Hrvaške meje in se nadaljuje v greben Žbevnice na Hrvaški strani. Zaradi relativno dolgih dostopov je slabo obiskan in to mu daje tudi svoj čar. Na prvi ekstremiteti grebena s severo-zahoda je postavljen ""križ"" z vpisno knjigo. Naslednji kucelj je najvišji vrh Goliča (890 m), sledi Nadglavinjak (888 m), ki je zadnji vrh grebena, ki je v celoti na Slovenski strani.<br>S celotnega grebena se odpira lep razgled na Istro, morje, Snežnik ter seveda sosed Slavnik. V lepem vremenu se lahko vidi tudi Dolomite in zahodni del Julijskih Alp.",
Gozdarska koča Pri logarnici,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",889,,151413,49,1,"Gozdarska koča Pri logarnici, se nahaja na večji travnati ravnici jugovzhodno od Mokrca. Ob gozdarski koči se nahaja še lepo urejen vikend ter staro gospodarsko poslopje. Pri koči je tudi kontrolna točka najdaljše slovenske poti (pot kurirjev in vezistov NOV Slovenije, dolga je okoli 1300 km).",
Nadglavinjak,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",888,vrh,114173,44,1,"Nadglavinjak je manj znan vrh, ki se nahaja jugovzhodno od Goliča. Z neizrazitega in travnatega vrha, se nam odpre lep pogled na Slavnik, Čičarijo, Žbevnico, Kavčič, Lipnik ter Tržaški zaliv.",
Sekulak,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",888,,279458,65,3,"Sekulak je razgledna točka, ki se nahaja na stranskem grebenu Čavenskega masiva. Ker Sekulak izstopa iz linije glavnega grebena, se nam z njega odpre čudovit pogled na zgornji in spodnji del Vipavske doline. Ob lepem vremenu pa razgled seže vse od Jadranskega morja do Dolomitov.",
Vrh Svetih Treh Kraljev,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",884,"vrh, cerkev",428884,83,9,"Cerkev Svetih Treh kraljev se nahaja na razgledni vzpetini nad vasjo Vrh Svetih Treh kraljev. Z vrha, ki ima razgledno ploščo je lep razgled po pred alpskem hribovju. V ozadju pa se vidijo tudi gore od Krna, Triglava, Blegoša, Ratitovca do Karavank. V verigi gora vzhodno od Krna lahko opazimo Spodnje Bohinjske gore, kjer najlažje prepoznamo Črno prst. Na vrh, ki ima poleg cerkve tudi pokopališče pripelje asfaltirana cesta. Nedeljska Sveta maša je običajno ob 10 uri.",
Kavčič,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",879,vrh,233763,59,3,"Kavčič je travnat vrh, ki se nahaja nad vasjo Rakitovec ob slovensko hrvaški meji. Z vrha, na katerem stojita dva križa ter ob njima vpisna skrinjica, se nam odpre lep razgled proti Učki, Istri, Tržaškemu zalivu, Dolomitom, Julijskim Alpam ter bližnjemu Lipniku, Goliču in Žbevnici.",
Lovska koča na Planinski gori,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",879,koča,311336,69,4,Lovska koča na Planinski gori se nahaja med Grmado (873m) in Petričevim hribom (937m). Do koče pred katero je veliko parkirišče pripelje makadamska cesta iz Lohače (vas v bližini Planine).,
Loška stena,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",875,vrh,10630,35,5,"Loška stena se nahaja nad Zgornjo Kolpsko dolino, točneje nad vasmi Grintovec pri Osilnici, Ložec in Ribjek. Z vrha Loške stene oz. prepadnega razgledišča se nam odpre lep razgled proti dolini Kolpe, okoliškemu hribovju in Gorskemu Kotarju.",
Grmada (Planinska gora),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",873,vrh,349522,73,3,"Grmada je 873m visok vrh, ki se dviguje zahodno od Planinskega polja. Vrh je sicer poraščen, a se nam z razgledne točke, ki se nahaja le malo pod vrhom odpre čudovit pogled na Planinsko polje, Logaško planoto, Krim, Slivnico, del Cerkniškega jezera in gozdnatim Javornikom.",
Sončnica (Reber),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",867,vrh,4657,31,3,"Sončnica je vzletišče jadralnih padalcev na obrobju planote Gora ali grebena Reber. Ob vzletišču, od koder se odpre lep pogled proti Vipavski dolini, se nahaja nekaj klopi, avtomatska vremenska postaja Kovk ter informativna tabla. Vpisna skrinjica se nahaja na bližnjem razpotju poti, kjer se s poti po Robu proti dolini odcepi markirana pot proti Lovski koči Budanje.",
Vrh Skopice,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",863,vrh,150536,49,2,"Vrh Skopice je razgleden vrh, ki se nahaja med Čepovansko dolino, dolino reke Idrijce in dolino reke Trebuščice. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Šentviško planoto, Spodnje Bohinjske gore, Kojco, Porezen, Hudournik, Poldanovec in Golake, če pa se z vrha spustimo proti vzhodu do bližnjega razglednega pomola, pa se nam odpre še lep razgled proti Dolenji in Gorenji Trebuši.",
Bele stene,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",863,,219870,58,2,"Bele stene se nahajajo severno od vasi Jurišče na vzhodnem obrobju Jerusov. Z vrha Belih sten, kjer se nahaja tudi vpisna skrinjica je lep razgled predvsem proti vzhodu, kjer lepo vidimo Kršičevec, Dedno goro, Snežnik in ostale vrhove, ki obdajajo vzhodni del Pivške kotline.",
Kuželjska stena,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",857,vrh,1960,24,1,"Kuželjska stena se mogočno dviguje nad vasico Kuželj v dolini reke Kolpe. Je vzpetina v prelomnici, ki se vije nad zgornjo dolino Kolpe z izjemno razgledno steno in prelepim oknom, ki bi mu ga lahko zavidale mnoge, veliko višje, gore. Če na eni strani strmo pada vse do doline Kolpe, se na drugi strani nežno spušča v planoto Stružnico. ",
